Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55.0,M,Shirt,Clothing,4031,Pune,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Cash,Fortnightly
2,19.0,Female,Kurta,Clothing,4945,varanasi,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
3,50.0,Female,Saree,Clothing,5460, Surat ,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Net Banking,Weekly
4,21.0,Male,Shoes,Footwear,6894,CHANDIGARH,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,GOOGLE PAY,Weekly
5,45.0,Male,Jeans,Clothing,3874, Ahmedabad ,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,Debit Card,Annually
6,46.0,Male,Shoes,Footwear,1506,Pune  ,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Credit Card,Weekly
7,63.0,Male,Trousers,Clothing,6520,AGRA,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Net Banking,Quarterly
8,27.0,M,Lehenga,Clothing,2521,Chandigarh  ,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,26.0,Female,Coat,Outerwear,7344,Chandigarh,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Cash,Annually
10,57.0,Male,Backpack,Accessories,2345,HYDERABAD,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Google Pay,Quarterly
11,53.0,Male,Mojaris,Footwear,2501,Ahmedabad,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Cash,Bi-Weekly
12,30.0,Female,Lehenga,Clothing,5010, Bengaluru ,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,cash,Fortnightly
13,61.0,Male,Coat,Outerwear,5382,Mumbai,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,PAYTM,Fortnightly
14,65.0,F,Jeans,Clothing,4023,bhopal,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PAYTM,Weekly
15,64.0,Male,Coat,Outerwear,4113,kolkata,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Google Pay,Weekly
16,64.0,Male,Kurti,Clothing,5946,,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,google pay,Monthly
17,25.0,Female,Watch,Accessories,2885,DELHI,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Paytm,Bi-Weekly
18,53.0,Female,Jeans,Clothing,2932,bhopal,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,PAYTM,Quarterly
19,,male,Jeans,Clothing,3473,Bhopal,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Paytm,Weekly
20,66.0,Female,Jeans,Clothing,6904,Nagpur,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Paytm,Bi-Weekly
21,21.0,Female,Jacket,Clothing,3839,Lucknow,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Debit Card,Every 3 Months
22,31.0,M,T-Shirt,Clothing,4777,Indore,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,DEBIT CARD,Quarterly
23,56.0,Male,Shirt,Clothing,2597,SURAT,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32, Cash ,Annually
24,31.0,Other,Jeans,Clothing,6467,surat,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,PhonePe,Weekly
25,18.0,Male,Jacket,Outerwear,1847, Agra ,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Cash,Weekly
26,18.0,Female,Ethnic Top,Clothing,2047,bhopal,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,Google Pay,Annually
27,38.0,Female,Handbag,Accessories,1661,Varanasi  ,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,UPI,Annually
28,56.0,F,T-Shirt,Clothing,4092,Bengaluru  ,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Phone Pay,Every 3 Months
